pelicula,genero,duracion,minutosVistos,porcentajeVisto,numeroVistas,calificacionUsuario,clasificacion
Forrest Gump,Drama,-0.52,1.77,1.91,0.49,0.99,1.18
The Matrix,Ciencia Ficcion,-0.79,0.13,0.31,-0.81,0.41,-0.25
Avengers: Endgame,Accion,1.23,-1.12,-1.17,-1.25,-0.93,-1.69
Fight Club,Drama,-0.65,0.23,0.38,0.49,-1.16,-0.25
The Godfather,Crimen,0.96,0.23,-0.03,0.06,0.86,1.18
The Godfather,Crimen,0.96,-0.12,-0.32,0.06,0.82,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.79,2.09,-0.81,0.61,1.18
Titanic,Romance,1.86,-0.44,-0.69,0.92,-0.55,-1.69
Inception,Ciencia Ficcion,-0.25,-1.22,-1.18,-0.81,-0.1,-0.25
Fight Club,Drama,-0.65,-0.69,-0.6,0.49,0.88,1.18
Avengers: Endgame,Accion,1.23,-1.0,-1.07,-1.25,0.03,-0.25
Fight Club,Drama,-0.65,0.11,0.24,-0.38,-0.8,-0.25
Titanic,Romance,1.86,0.61,0.1,-0.81,1.51,1.18
The Dark Knight,Accion,-0.07,-0.62,-0.61,-0.38,-0.27,-1.69
The Lord of the Rings,Fantasia,1.1,-0.01,-0.25,0.49,-0.43,-0.25
Titanic,Romance,1.86,-0.32,-0.6,2.23,-1.72,-1.69
Avengers: Endgame,Accion,1.23,-0.87,-0.97,-0.38,-1.06,-1.69
La La Land,Musical,-1.15,-0.9,-0.75,0.92,0.12,-0.25
Titanic,Romance,1.86,-0.52,-0.75,-0.38,-1.0,-1.69
Avengers: Endgame,Accion,1.23,2.04,1.38,-0.38,-0.42,1.18
The Shawshank Redemption,Suspenso,-0.43,0.06,0.13,0.06,-1.11,-0.25
Interstellar,Ciencia Ficcion,0.69,-1.02,-1.06,-1.25,-1.19,-1.69
Avengers: Endgame,Accion,1.23,1.39,0.86,1.36,-0.88,-0.25
Titanic,Romance,1.86,0.06,-0.32,-1.25,0.07,-0.25
Interstellar,Ciencia Ficcion,0.69,-0.07,-0.23,-1.25,-0.16,-0.25
La La Land,Musical,-1.15,1.41,1.89,-0.81,1.13,1.18
La La Land,Musical,-1.15,-0.17,0.09,-1.25,-1.2,-0.25
Avengers: Endgame,Accion,1.23,0.54,0.17,0.06,-1.64,-0.25
Avengers: Endgame,Accion,1.23,0.56,0.19,0.92,1.51,1.18
Inception,Ciencia Ficcion,-0.25,0.66,0.68,1.36,-1.15,-0.25
Interstellar,Ciencia Ficcion,0.69,0.01,-0.17,-1.25,1.3,1.18
The Dark Knight,Accion,-0.07,1.49,1.42,0.06,-0.63,1.18
Titanic,Romance,1.86,1.59,0.83,-1.25,0.93,1.18
Titanic,Romance,1.86,-1.12,-1.2,-1.25,1.23,1.18
Pulp Fiction,Crimen,0.02,-1.37,-1.34,0.49,1.37,1.18
Interstellar,Ciencia Ficcion,0.69,1.49,1.12,-1.25,-1.53,-0.25
Fight Club,Drama,-0.65,1.64,1.86,0.06,0.93,1.18
Titanic,Romance,1.86,1.56,0.81,0.06,1.61,1.18
Coco,Infantil,-2.18,0.54,1.43,-0.81,0.39,1.18
La La Land,Musical,-1.15,0.06,0.34,0.92,-1.02,-0.25
The Lord of the Rings,Fantasia,1.1,-0.92,-1.0,1.36,1.2,1.18
Pulp Fiction,Crimen,0.02,0.99,0.9,-1.25,1.22,1.18
Interstellar,Ciencia Ficcion,0.69,0.49,0.25,-0.81,0.74,1.18
Fight Club,Drama,-0.65,0.59,0.75,-0.38,0.14,-0.25
Fight Club,Drama,-0.65,0.69,0.85,1.79,-0.74,-0.25
La La Land,Musical,-1.15,-1.37,-1.29,-0.81,-0.94,-1.69
Coco,Infantil,-2.18,1.01,2.09,-0.38,0.86,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.04,0.12,-0.38,-0.22,-0.25
The Godfather,Crimen,0.96,-1.4,-1.39,0.49,-0.16,-0.25
Inception,Ciencia Ficcion,-0.25,-0.74,-0.71,1.36,1.63,1.18
The Dark Knight,Accion,-0.07,-1.15,-1.12,-0.38,-1.31,-1.69
Forrest Gump,Drama,-0.52,-0.09,-0.0,-0.38,-1.15,-0.25
La La Land,Musical,-1.15,-1.42,-1.35,-0.38,-1.66,-1.69
Titanic,Romance,1.86,-1.05,-1.14,-0.81,-0.81,-1.69
The Shawshank Redemption,Suspenso,-0.43,0.46,0.54,2.66,1.33,1.18
Interstellar,Ciencia Ficcion,0.69,0.51,0.27,0.06,-0.17,-0.25
Interstellar,Ciencia Ficcion,0.69,2.37,1.88,-1.25,1.45,1.18
Pulp Fiction,Crimen,0.02,-0.77,-0.77,0.49,-0.48,-0.25
Pulp Fiction,Crimen,0.02,1.34,1.23,1.79,-1.19,-0.25
Avengers: Endgame,Accion,1.23,0.96,0.51,2.23,0.03,-0.25
The Shawshank Redemption,Suspenso,-0.43,1.41,1.51,0.49,-1.48,1.18
Interstellar,Ciencia Ficcion,0.69,0.28,0.07,-1.25,1.52,1.18
Gladiator,Accion,0.06,1.14,1.03,-0.38,-1.55,-0.25
The Dark Knight,Accion,-0.07,-0.32,-0.32,0.49,-0.69,-1.69
Avengers: Endgame,Accion,1.23,0.81,0.39,-0.81,-0.21,-0.25
Avengers: Endgame,Accion,1.23,-0.82,-0.93,-1.25,-0.87,-1.69
La La Land,Musical,-1.15,-1.3,-1.2,-0.81,-1.56,-1.69
Interstellar,Ciencia Ficcion,0.69,-1.52,-1.49,0.06,-0.27,-0.25
Titanic,Romance,1.86,0.61,0.1,-0.38,0.57,-0.25
The Godfather,Crimen,0.96,1.04,0.65,0.06,0.79,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.25,-1.19,-0.38,1.63,1.18
Avengers: Endgame,Accion,1.23,-0.32,-0.52,0.06,1.49,1.18
Titanic,Romance,1.86,-0.32,-0.6,-1.25,0.31,-0.25
Gladiator,Accion,0.06,0.81,0.72,0.92,0.37,-0.25
The Dark Knight,Accion,-0.07,-0.17,-0.18,0.92,0.85,1.18
Interstellar,Ciencia Ficcion,0.69,-1.0,-1.03,-1.25,-0.46,-0.25
Forrest Gump,Drama,-0.52,-0.47,-0.39,-0.38,-1.72,-1.69
The Matrix,Ciencia Ficcion,-0.79,0.46,0.66,-0.38,1.69,1.18
Titanic,Romance,1.86,0.36,-0.09,1.36,-0.96,-0.25
Coco,Infantil,-2.18,-0.54,-0.07,0.92,-0.07,-0.25
The Godfather,Crimen,0.96,-1.3,-1.3,0.49,-0.4,-0.25
Forrest Gump,Drama,-0.52,1.94,2.09,-0.81,-0.71,1.18
The Lord of the Rings,Fantasia,1.1,0.91,0.51,-0.81,-0.17,-0.25
Pulp Fiction,Crimen,0.02,0.51,0.45,0.06,0.87,-0.25
La La Land,Musical,-1.15,-0.29,-0.06,0.06,0.08,-0.25
Titanic,Romance,1.86,2.17,1.26,0.49,-1.72,-0.25
Pulp Fiction,Crimen,0.02,-0.95,-0.93,-1.25,1.24,1.18
Interstellar,Ciencia Ficcion,0.69,0.86,0.57,1.36,-0.98,-0.25
Pulp Fiction,Crimen,0.02,-1.4,-1.36,-0.81,-1.12,-1.69
The Lord of the Rings,Fantasia,1.1,-0.8,-0.9,-0.81,0.83,-0.25
The Godfather,Crimen,0.96,1.04,0.65,1.79,0.6,-0.25
The Dark Knight,Accion,-0.07,-0.82,-0.8,-1.25,0.06,-0.25
Fight Club,Drama,-0.65,1.59,1.8,0.06,-1.7,1.18
Inception,Ciencia Ficcion,-0.25,0.54,0.56,-1.25,-1.72,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.01,0.06,-0.81,1.09,1.18
The Dark Knight,Accion,-0.07,-1.55,-1.5,0.49,0.18,-0.25
Fight Club,Drama,-0.65,-0.07,0.06,-1.25,0.07,-0.25
Gladiator,Accion,0.06,-0.74,-0.75,-1.25,0.17,-0.25
Coco,Infantil,-2.18,1.01,2.09,-0.38,-0.13,1.18
Titanic,Romance,1.86,1.14,0.49,-0.38,-0.23,-0.25
Titanic,Romance,1.86,2.19,1.28,-0.81,1.69,1.18
Avengers: Endgame,Accion,1.23,0.59,0.21,1.79,-0.33,-0.25
The Godfather,Crimen,0.96,2.07,1.51,0.49,1.11,1.18
Titanic,Romance,1.86,-0.19,-0.5,-0.81,0.13,-0.25
Forrest Gump,Drama,-0.52,1.61,1.76,-0.81,0.18,1.18
Fight Club,Drama,-0.65,0.79,0.96,1.36,1.16,1.18
The Godfather,Crimen,0.96,1.14,0.73,0.92,0.1,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.01,1.26,1.36,-0.27,-0.25
Forrest Gump,Drama,-0.52,1.19,1.32,-1.25,-0.33,-0.25
Titanic,Romance,1.86,0.59,0.08,-0.38,0.81,1.18
Pulp Fiction,Crimen,0.02,-1.05,-1.03,0.06,-1.72,-1.69
The Lord of the Rings,Fantasia,1.1,2.27,1.62,0.06,-0.74,1.18
Pulp Fiction,Crimen,0.02,-0.74,-0.74,-1.25,-0.23,-0.25
Forrest Gump,Drama,-0.52,-0.74,-0.67,-1.25,-0.47,-0.25
Gladiator,Accion,0.06,-1.2,-1.17,1.79,0.69,-0.25
Titanic,Romance,1.86,1.74,0.94,1.36,-0.82,-0.25
La La Land,Musical,-1.15,-1.02,-0.89,-1.25,1.57,1.18
Gladiator,Accion,0.06,-0.82,-0.82,-0.38,-1.72,-1.69
Gladiator,Accion,0.06,-1.5,-1.46,-0.81,0.98,1.18
Fight Club,Drama,-0.65,1.79,2.01,-1.25,-0.19,1.18
The Shawshank Redemption,Suspenso,-0.43,0.69,0.77,-0.81,1.02,1.18
Fight Club,Drama,-0.65,-1.0,-0.92,0.49,0.44,1.18
Interstellar,Ciencia Ficcion,0.69,0.94,0.64,2.66,1.24,1.18
Inception,Ciencia Ficcion,-0.25,-0.59,-0.56,-0.38,1.51,1.18
Forrest Gump,Drama,-0.52,0.01,0.1,-0.38,-1.24,-0.25
The Dark Knight,Accion,-0.07,-0.59,-0.59,0.06,0.26,-0.25
Inception,Ciencia Ficcion,-0.25,1.89,1.89,-0.81,0.14,1.18
La La Land,Musical,-1.15,-1.05,-0.92,-1.25,-1.71,-1.69
The Matrix,Ciencia Ficcion,-0.79,0.11,0.28,0.92,0.41,-0.25
The Lord of the Rings,Fantasia,1.1,-1.07,-1.12,-0.81,-0.6,-1.69
Fight Club,Drama,-0.65,0.33,0.48,-0.81,-0.22,-0.25
Fight Club,Drama,-0.65,-0.74,-0.65,2.66,-1.13,-1.69
The Godfather,Crimen,0.96,1.59,1.11,1.36,0.5,-0.25
La La Land,Musical,-1.15,-1.3,-1.2,1.36,0.72,-0.25
Inception,Ciencia Ficcion,-0.25,0.11,0.13,0.49,1.66,1.18
Avengers: Endgame,Accion,1.23,-0.37,-0.56,0.49,0.53,-0.25
Coco,Infantil,-2.18,-0.92,-0.6,0.49,1.57,1.18
Coco,Infantil,-2.18,-0.44,0.07,1.79,-0.6,-0.25
The Godfather,Crimen,0.96,0.33,0.06,0.92,0.07,-0.25
The Dark Knight,Accion,-0.07,0.03,0.02,0.92,-1.09,-0.25
The Godfather,Crimen,0.96,0.23,-0.03,-1.25,-0.25,-0.25
Inception,Ciencia Ficcion,-0.25,-0.95,-0.91,0.06,-1.39,-1.69
Forrest Gump,Drama,-0.52,-1.42,-1.37,-0.38,1.5,1.18
Titanic,Romance,1.86,1.44,0.72,-0.81,0.5,-0.25
Titanic,Romance,1.86,1.49,0.76,0.06,-0.36,-0.25
La La Land,Musical,-1.15,0.96,1.38,0.49,1.11,1.18
The Lord of the Rings,Fantasia,1.1,-1.12,-1.16,0.06,0.36,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.24,-0.09,0.06,0.24,-0.25
Fight Club,Drama,-0.65,-0.64,-0.55,1.36,0.63,1.18
The Dark Knight,Accion,-0.07,-1.32,-1.29,0.49,0.73,-0.25
Coco,Infantil,-2.18,0.21,0.97,-1.25,1.4,1.18
Fight Club,Drama,-0.65,1.87,2.09,0.06,0.84,1.18
Interstellar,Ciencia Ficcion,0.69,0.03,-0.14,0.49,0.66,-0.25
The Lord of the Rings,Fantasia,1.1,0.23,-0.05,0.92,0.53,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.74,2.04,0.92,0.13,1.18
The Shawshank Redemption,Suspenso,-0.43,1.84,1.94,0.06,1.21,1.18
Coco,Infantil,-2.18,-0.97,-0.67,-0.81,0.92,-0.25
Avengers: Endgame,Accion,1.23,1.74,1.14,0.92,-0.9,-0.25
Avengers: Endgame,Accion,1.23,-1.12,-1.17,-1.25,0.06,-0.25
The Godfather,Crimen,0.96,0.71,0.37,-1.25,-1.35,-0.25
Pulp Fiction,Crimen,0.02,0.44,0.38,-0.38,0.19,-0.25
Inception,Ciencia Ficcion,-0.25,-1.27,-1.23,-0.81,-0.53,-1.69
Fight Club,Drama,-0.65,-0.59,-0.49,0.49,1.69,1.18
The Godfather,Crimen,0.96,2.02,1.46,-0.38,0.31,1.18
The Dark Knight,Accion,-0.07,-0.39,-0.39,1.36,-1.39,-1.69
Fight Club,Drama,-0.65,-0.67,-0.57,0.06,0.32,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.17,-0.1,-1.25,-0.37,-0.25
Titanic,Romance,1.86,1.67,0.89,-0.38,-1.24,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.44,-0.31,-1.25,-1.06,-1.69
The Lord of the Rings,Fantasia,1.1,-0.42,-0.59,0.06,-0.79,-1.69
The Matrix,Ciencia Ficcion,-0.79,0.54,0.74,1.36,-0.26,-0.25
Titanic,Romance,1.86,-1.12,-1.2,-1.25,-0.04,-0.25
Fight Club,Drama,-0.65,0.38,0.54,-1.25,0.35,-0.25
The Dark Knight,Accion,-0.07,-0.95,-0.93,0.06,-1.72,-1.69
The Matrix,Ciencia Ficcion,-0.79,0.36,0.55,-0.38,0.08,-0.25
Avengers: Endgame,Accion,1.23,-0.34,-0.54,-1.25,-0.43,-1.69
The Matrix,Ciencia Ficcion,-0.79,1.11,1.36,1.36,-1.72,1.18
The Shawshank Redemption,Suspenso,-0.43,0.46,0.54,0.92,-1.72,-0.25
Coco,Infantil,-2.18,1.01,2.09,1.79,-0.29,1.18
Inception,Ciencia Ficcion,-0.25,-0.17,-0.14,0.49,-0.26,-0.25
The Dark Knight,Accion,-0.07,0.21,0.19,1.36,-0.78,-0.25
The Dark Knight,Accion,-0.07,-0.97,-0.95,-1.25,-1.03,-1.69
Forrest Gump,Drama,-0.52,-1.4,-1.34,-0.81,-0.56,-0.25
Coco,Infantil,-2.18,-0.19,0.42,-0.38,0.09,-0.25
Coco,Infantil,-2.18,-1.5,-1.4,1.36,-0.21,-1.69
Titanic,Romance,1.86,-1.2,-1.26,1.36,0.78,-0.25
Forrest Gump,Drama,-0.52,0.59,0.7,0.92,1.37,1.18
Avengers: Endgame,Accion,1.23,-1.55,-1.52,0.49,-0.53,-0.25
Titanic,Romance,1.86,-0.64,-0.84,-1.25,0.8,-0.25
La La Land,Musical,-1.15,-0.54,-0.34,-0.81,0.27,-0.25
The Matrix,Ciencia Ficcion,-0.79,-0.47,-0.34,0.49,-1.45,-1.69
Titanic,Romance,1.86,0.74,0.19,-1.25,-0.1,-0.25
Pulp Fiction,Crimen,0.02,-1.25,-1.22,-0.38,-1.07,-1.69
Forrest Gump,Drama,-0.52,-0.34,-0.26,-0.81,0.58,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.69,-0.58,0.06,-0.76,-1.69
La La Land,Musical,-1.15,0.21,0.52,-1.25,-0.06,-0.25
Gladiator,Accion,0.06,-0.37,-0.39,0.06,-0.39,-0.25
Interstellar,Ciencia Ficcion,0.69,0.66,0.4,0.92,-0.73,-0.25
Interstellar,Ciencia Ficcion,0.69,-1.32,-1.32,1.36,0.45,-0.25
The Dark Knight,Accion,-0.07,-0.39,-0.39,0.92,1.3,1.18
Pulp Fiction,Crimen,0.02,-0.39,-0.41,-0.81,1.69,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.22,-0.15,2.23,-1.08,-1.69
Inception,Ciencia Ficcion,-0.25,-1.45,-1.4,0.49,-0.62,-1.69
La La Land,Musical,-1.15,-1.42,-1.35,0.06,-1.72,-1.69
La La Land,Musical,-1.15,-0.07,0.2,0.06,0.3,-0.25
Forrest Gump,Drama,-0.52,-1.57,-1.53,-0.81,1.51,1.18
Gladiator,Accion,0.06,1.79,1.64,0.92,1.06,1.18
The Matrix,Ciencia Ficcion,-0.79,-0.34,-0.2,0.92,-1.46,-1.69
La La Land,Musical,-1.15,-1.45,-1.38,-0.81,0.3,-0.25
La La Land,Musical,-1.15,-0.52,-0.32,0.92,-1.28,-1.69
Pulp Fiction,Crimen,0.02,-0.07,-0.1,0.49,-0.35,-0.25
Coco,Infantil,-2.18,-0.22,0.38,0.49,0.16,-0.25
Coco,Infantil,-2.18,0.03,0.73,1.36,-0.23,-0.25
The Dark Knight,Accion,-0.07,-1.4,-1.36,-1.25,-1.72,-1.69
The Lord of the Rings,Fantasia,1.1,-1.2,-1.23,0.49,1.17,1.18
Forrest Gump,Drama,-0.52,-1.07,-1.01,0.49,-0.31,-0.25
Pulp Fiction,Crimen,0.02,0.18,0.14,-1.25,-0.5,-0.25
Forrest Gump,Drama,-0.52,0.56,0.67,-1.25,-1.63,-0.25
The Lord of the Rings,Fantasia,1.1,-1.02,-1.08,-1.25,0.28,-0.25
Inception,Ciencia Ficcion,-0.25,-1.35,-1.3,-0.38,-1.53,-1.69
Inception,Ciencia Ficcion,-0.25,2.09,2.09,1.36,0.4,1.18
The Shawshank Redemption,Suspenso,-0.43,-0.74,-0.68,-0.81,-0.42,-1.69
Coco,Infantil,-2.18,1.01,2.09,1.36,-0.68,1.18
Avengers: Endgame,Accion,1.23,0.03,-0.24,1.36,-1.04,-1.69
Interstellar,Ciencia Ficcion,0.69,1.11,0.79,-1.25,-0.05,-0.25
Coco,Infantil,-2.18,-0.32,0.24,3.09,0.23,-0.25
Titanic,Romance,1.86,-0.07,-0.41,0.92,-0.81,-0.25
The Godfather,Crimen,0.96,1.46,1.0,-0.38,1.47,1.18
The Godfather,Crimen,0.96,-0.47,-0.61,1.36,-0.43,-1.69
Forrest Gump,Drama,-0.52,-0.44,-0.36,0.92,1.63,1.18
The Lord of the Rings,Fantasia,1.1,-0.72,-0.83,-1.25,0.33,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.74,-0.68,-0.81,0.36,-0.25
The Godfather,Crimen,0.96,-1.47,-1.45,-0.38,-0.51,-0.25
Titanic,Romance,1.86,-1.1,-1.18,0.06,0.33,-0.25
The Dark Knight,Accion,-0.07,-0.64,-0.64,-1.25,1.11,1.18
The Godfather,Crimen,0.96,-0.49,-0.63,0.49,0.28,-0.25
Fight Club,Drama,-0.65,0.54,0.69,-0.38,-0.2,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.79,2.09,-1.25,-1.72,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.1,-1.04,-0.38,0.45,-0.25
The Dark Knight,Accion,-0.07,0.01,-0.01,0.49,1.56,1.18
La La Land,Musical,-1.15,-0.19,0.06,0.49,0.29,-0.25
Pulp Fiction,Crimen,0.02,-0.02,-0.05,-1.25,-1.25,-0.25
The Dark Knight,Accion,-0.07,-0.57,-0.56,-1.25,-0.45,-0.25
Interstellar,Ciencia Ficcion,0.69,0.06,-0.12,-1.25,-0.33,-1.69
Pulp Fiction,Crimen,0.02,1.74,1.62,0.06,-1.59,1.18
Coco,Infantil,-2.18,1.01,2.09,-0.38,1.11,1.18
Gladiator,Accion,0.06,-1.47,-1.43,-1.25,-0.7,-1.69
The Matrix,Ciencia Ficcion,-0.79,-0.29,-0.15,0.49,-0.39,-1.69
The Matrix,Ciencia Ficcion,-0.79,1.79,2.09,1.79,0.01,1.18
The Matrix,Ciencia Ficcion,-0.79,-1.02,-0.93,-1.25,-0.74,-1.69
The Lord of the Rings,Fantasia,1.1,-0.12,-0.34,-0.38,-0.05,-0.25
The Matrix,Ciencia Ficcion,-0.79,-1.07,-0.98,-1.25,1.69,1.18
Forrest Gump,Drama,-0.52,-0.72,-0.65,-1.25,0.46,-0.25
The Matrix,Ciencia Ficcion,-0.79,-1.32,-1.25,-0.38,-0.01,-0.25
Titanic,Romance,1.86,-0.02,-0.37,-1.25,0.93,-0.25
Coco,Infantil,-2.18,0.44,1.29,0.06,1.48,1.18
The Matrix,Ciencia Ficcion,-0.79,0.31,0.5,-0.38,1.07,1.18
Avengers: Endgame,Accion,1.23,-0.59,-0.75,0.49,0.14,-0.25
Coco,Infantil,-2.18,0.59,1.5,-0.38,-1.14,1.18
The Matrix,Ciencia Ficcion,-0.79,0.54,0.74,1.79,-0.75,-0.25
The Lord of the Rings,Fantasia,1.1,0.81,0.42,0.92,0.2,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.22,-1.17,0.06,-1.62,-1.69
Forrest Gump,Drama,-0.52,-0.54,-0.47,0.06,-0.21,-1.69
The Lord of the Rings,Fantasia,1.1,-1.3,-1.31,1.79,-0.46,-1.69
Inception,Ciencia Ficcion,-0.25,-0.62,-0.59,0.06,-0.94,-1.69
The Dark Knight,Accion,-0.07,0.36,0.33,-0.81,1.02,1.18
Avengers: Endgame,Accion,1.23,0.59,0.21,0.92,0.37,-0.25
Avengers: Endgame,Accion,1.23,-0.97,-1.05,-0.38,1.69,1.18
The Dark Knight,Accion,-0.07,0.71,0.67,-1.25,0.69,-0.25
Pulp Fiction,Crimen,0.02,-1.17,-1.15,0.06,1.68,1.18
The Shawshank Redemption,Suspenso,-0.43,-1.32,-1.27,-0.38,0.37,-0.25
Fight Club,Drama,-0.65,1.21,1.41,0.49,0.43,1.18
The Dark Knight,Accion,-0.07,-0.24,-0.25,0.06,0.64,-0.25
La La Land,Musical,-1.15,-0.52,-0.32,0.92,-1.47,-1.69
The Godfather,Crimen,0.96,2.54,1.9,0.49,-1.45,1.18
Fight Club,Drama,-0.65,-0.22,-0.1,-1.25,-0.74,-0.25
La La Land,Musical,-1.15,1.59,2.09,-1.25,-0.94,1.18
The Matrix,Ciencia Ficcion,-0.79,0.41,0.61,0.92,1.26,1.18
La La Land,Musical,-1.15,-0.77,-0.6,-0.81,-0.89,-1.69
The Matrix,Ciencia Ficcion,-0.79,-0.22,-0.07,-1.25,-0.74,-0.25
Forrest Gump,Drama,-0.52,-0.74,-0.67,0.49,-0.98,-1.69
Fight Club,Drama,-0.65,0.84,1.01,-0.38,-1.31,-0.25
The Godfather,Crimen,0.96,-0.72,-0.82,0.92,-0.75,-0.25
La La Land,Musical,-1.15,-1.32,-1.23,0.92,0.88,1.18
Forrest Gump,Drama,-0.52,1.09,1.21,1.36,-0.51,-0.25
Titanic,Romance,1.86,0.91,0.32,-1.25,0.9,1.18
The Lord of the Rings,Fantasia,1.1,-0.14,-0.36,-0.38,1.69,1.18
Coco,Infantil,-2.18,-0.29,0.28,1.36,1.69,1.18
Coco,Infantil,-2.18,-0.72,-0.32,-0.38,1.18,1.18
Pulp Fiction,Crimen,0.02,0.74,0.66,-1.25,-1.12,-0.25
Fight Club,Drama,-0.65,-0.54,-0.44,-1.25,-0.04,-0.25
The Shawshank Redemption,Suspenso,-0.43,-0.59,-0.53,-0.38,-1.18,-1.69
The Matrix,Ciencia Ficcion,-0.79,-0.04,0.12,0.92,0.76,-0.25
Coco,Infantil,-2.18,1.01,2.09,-0.38,-1.35,1.18
The Matrix,Ciencia Ficcion,-0.79,-1.2,-1.12,0.92,-1.05,-1.69
Interstellar,Ciencia Ficcion,0.69,-0.42,-0.53,1.36,0.2,-0.25
The Lord of the Rings,Fantasia,1.1,-0.67,-0.79,-1.25,-0.39,-1.69
The Lord of the Rings,Fantasia,1.1,-1.5,-1.47,-0.81,-0.5,-0.25
Coco,Infantil,-2.18,0.26,1.04,-1.25,-0.78,-0.25
Forrest Gump,Drama,-0.52,-0.02,0.08,1.36,-0.84,-0.25
Inception,Ciencia Ficcion,-0.25,-1.45,-1.4,0.06,-1.22,-1.69
Inception,Ciencia Ficcion,-0.25,-0.57,-0.54,2.23,-0.38,-0.25
Forrest Gump,Drama,-0.52,1.44,1.58,-0.81,1.21,1.18
La La Land,Musical,-1.15,-1.55,-1.49,-0.81,1.1,1.18
La La Land,Musical,-1.15,1.59,2.09,1.36,0.18,1.18
The Shawshank Redemption,Suspenso,-0.43,1.99,2.09,-1.25,-0.61,1.18
Gladiator,Accion,0.06,-1.1,-1.08,1.36,1.34,1.18
Forrest Gump,Drama,-0.52,-1.2,-1.14,0.49,1.41,1.18
The Shawshank Redemption,Suspenso,-0.43,1.26,1.35,0.06,0.56,-0.25
Pulp Fiction,Crimen,0.02,-0.9,-0.89,0.92,0.88,-0.25
The Matrix,Ciencia Ficcion,-0.79,-1.4,-1.33,0.92,-0.32,-1.69
The Godfather,Crimen,0.96,1.01,0.62,0.49,0.35,-0.25
Gladiator,Accion,0.06,1.44,1.31,-1.25,-1.34,-0.25
Fight Club,Drama,-0.65,-0.09,0.03,0.06,-0.31,-0.25
Avengers: Endgame,Accion,1.23,-1.42,-1.41,0.06,-1.72,-1.69
Gladiator,Accion,0.06,-0.67,-0.68,1.36,0.06,-0.25
The Godfather,Crimen,0.96,-1.02,-1.07,2.23,0.68,1.18
Interstellar,Ciencia Ficcion,0.69,-1.4,-1.38,1.36,-0.55,-0.25
The Lord of the Rings,Fantasia,1.1,0.36,0.05,-0.81,-0.56,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.79,2.09,-0.81,-1.08,1.18
Inception,Ciencia Ficcion,-0.25,0.11,0.13,0.49,-1.39,-0.25
La La Land,Musical,-1.15,-0.44,-0.23,-0.81,0.57,1.18
The Shawshank Redemption,Suspenso,-0.43,0.03,0.1,-0.38,0.76,-0.25
La La Land,Musical,-1.15,-0.62,-0.43,0.92,-1.31,-1.69
La La Land,Musical,-1.15,-0.69,-0.52,0.49,-1.59,-1.69
La La Land,Musical,-1.15,-0.8,-0.63,0.49,-1.72,-1.69
Forrest Gump,Drama,-0.52,0.11,0.21,-0.81,1.62,1.18
Forrest Gump,Drama,-0.52,1.16,1.29,-0.81,-0.06,-0.25
Avengers: Endgame,Accion,1.23,-1.05,-1.11,3.09,-0.46,-1.69
Inception,Ciencia Ficcion,-0.25,-0.29,-0.26,-0.38,-1.01,-1.69
Gladiator,Accion,0.06,-1.12,-1.1,-1.25,-0.55,-0.25
The Matrix,Ciencia Ficcion,-0.79,1.36,1.63,-1.25,1.21,1.18
The Dark Knight,Accion,-0.07,-0.44,-0.44,-0.38,-0.08,-0.25
The Shawshank Redemption,Suspenso,-0.43,-1.57,-1.53,-0.81,0.62,-0.25
Titanic,Romance,1.86,-1.5,-1.48,-1.25,-1.72,-1.69
Pulp Fiction,Crimen,0.02,1.24,1.14,0.06,-0.93,-0.25
The Godfather,Crimen,0.96,1.77,1.25,-0.81,1.21,1.18
Avengers: Endgame,Accion,1.23,0.18,-0.12,0.06,-0.13,-0.25
Gladiator,Accion,0.06,-0.95,-0.94,-0.81,-0.59,-0.25
La La Land,Musical,-1.15,1.36,1.83,-0.81,0.22,1.18
The Lord of the Rings,Fantasia,1.1,1.26,0.79,0.06,-0.25,-0.25
The Lord of the Rings,Fantasia,1.1,-0.8,-0.9,-0.38,1.41,1.18
Fight Club,Drama,-0.65,0.21,0.35,0.49,1.69,1.18
Interstellar,Ciencia Ficcion,0.69,-1.4,-1.38,0.92,-0.12,-0.25
The Lord of the Rings,Fantasia,1.1,-1.02,-1.08,0.92,-0.03,-0.25
Forrest Gump,Drama,-0.52,1.11,1.24,-1.25,1.69,1.18
Gladiator,Accion,0.06,0.99,0.89,-1.25,1.68,1.18
Interstellar,Ciencia Ficcion,0.69,0.46,0.23,1.36,0.43,-0.25
